datetime,average,volume
1319666400000,2.92,59449.56
1319752800000,3.11,53410.78
1319839200000,3.54,80533.65
1319925600000,3.38,51820.79
1320015600000,3.19,31543
1320102000000,3.19,38666.72
1320188400000,3.23,32727.8
1320274800000,3.21,24922.18
1320361200000,3.13,40625.69
1320447600000,3.01,53518.09
1320534000000,2.96,17543.6
1320620400000,3,24480.55
1320706800000,3.09,62115.94
1320793200000,3,52850.96
1320879600000,2.87,34708.29
1320966000000,2.97,45292.63
1321052400000,3.06,20995.48
1321138800000,3,9780.33
1321225200000,2.51,384475.29
1321311600000,2.3,77616
1321398000000,2.46,44834.6
1321484400000,2.23,120547.36
1321570800000,2.14,99565.69
1321657200000,2.17,79753.9
1321743600000,2.28,80777.15
1321830000000,2.23,43745.57
1321916400000,2.31,35273.62
1322002800000,2.32,41113.77
1322089200000,2.42,88867.34
1322175600000,2.47,45361.86
1322262000000,2.48,36412.63
1322348400000,2.46,23125.54
1322434800000,2.51,42519.93
1322521200000,2.79,181329.33
1322607600000,2.91,121003.03
1322694000000,3.05,65503.57
1322780400000,3.1,58549.86
1322866800000,2.93,123933.65
1322953200000,2.75,95772.81
1323039600000,2.87,31533.18
1323126000000,2.98,57102.26
1323212400000,3,59401.09
1323298800000,2.95,41242.33
1323385200000,2.99,35346.14
1323471600000,3.04,75433.74
1323558000000,3.2,109957.11
1323644400000,3.18,40857.21
1323730800000,3.21,33480.66
1323817200000,3.12,73772.18
1323903600000,3.17,30782.06
1323990000000,3.18,30928.62
1324076400000,3.19,16957
1324162800000,3.2,11370.34
1324249200000,3.41,141522.49
1324335600000,3.97,187493.36
1324422000000,3.93,49632.1
1324508400000,3.79,57621.99
1324594800000,3.9,21101.04
1324681200000,3.92,15579.42
1324767600000,4.14,81062.98
1324854000000,4.04,89435.39
1324940400000,4.02,31427.07
1325026800000,4.14,34619.22
1325113200000,4.22,53844.05
1325199600000,4.19,41730.95
1325286000000,4.6,131056.91
1325372400000,5.1,109715.97
1325458800000,5.21,69590.26
1325545200000,4.95,126201.41
1325631600000,5.25,132302.61
1325718000000,6.2,184803.98
1325804400000,6.79,220874.48
1325890800000,6.72,48824.63
1325977200000,7.03,59204.52
1326063600000,6.47,149622.35
1326150000000,6.4,110797.84
1326236400000,6.81,100713.58
1326322800000,6.74,141157.89
1326409200000,6.61,61030.15
1326495600000,6.59,142982.47
1326582000000,6.9,62699
1326668400000,6.83,123869.49
1326754800000,6.04,214178.93
1326841200000,5.98,227363.99
1326927600000,6.18,115458.7
1327014000000,6.44,67356.71
1327100400000,6.29,65100.95
1327186800000,6.29,45282.24
1327273200000,6.29,18596.26
1327359600000,6.3,36081.52
1327446000000,5.88,133966.24
1327532400000,5.59,124483.63
1327618800000,5.29,117072.29
1327705200000,5.57,90550.07
1327791600000,5.48,47093.57
1327878000000,5.51,42757.95
1327964400000,5.53,49164.86
1328050800000,5.82,116746.22
1328137200000,6.03,55553.16
1328223600000,5.92,60462.79
1328310000000,5.92,21085.53
1328396400000,5.68,121375.76
1328482800000,5.55,90794.3
1328569200000,5.62,73672.9
1328655600000,5.64,239256.37
1328742000000,5.75,91046.61
1328828400000,5.87,40471.4
1328914800000,5.7,70863.96
1329001200000,5.6,83126.79
1329087600000,5.34,171158.03
1329174000000,4.7,299210.01
1329260400000,4.58,162859.25
1329346800000,4.19,167515.15
1329433200000,4.46,137178.35
1329519600000,4.27,71150.88
1329606000000,4.35,63161.55
1329692400000,4.37,39136.55
1329778800000,4.31,53194.52
1329865200000,4.44,105451.97
1329951600000,4.82,166366.72
1330038000000,4.97,91451.54
1330124400000,4.88,86781.01
1330210800000,4.95,71192.69
1330297200000,4.93,31086.06
1330383600000,4.87,64203.91
1330470000000,4.82,28961.23
1330556400000,4.92,46227.35
1330642800000,4.69,131794.73
1330729200000,4.67,41061.89
1330815600000,4.8,59641.4
1330902000000,4.93,68645.8
1330988400000,4.97,46425.13
1331074800000,4.92,48072.34
1331161200000,4.87,59191.1
1331247600000,4.89,34399.55
1331334000000,4.8,29747.44
1331420400000,4.89,44034.84
1331506800000,4.87,24334.29
1331593200000,5.15,131788.79
1331679600000,5.35,66557.18
1331766000000,5.3,44431.88
1331852400000,5.33,34279.84
1331938800000,5.31,40292.56
1332025200000,5.22,26124.69
1332111600000,4.88,191687.46
1332198000000,4.79,68414.9
1332284400000,4.81,48284.29
1332370800000,4.75,62474.51
1332457200000,4.69,56575.33
1332543600000,4.65,40124.4
1332630000000,4.5,73543.36
1332712800000,4.64,72253.66
1332799200000,4.66,77518.59
1332885600000,4.79,39295.33
1332972000000,4.73,43595.84
1333058400000,4.77,44664.89
1333144800000,4.88,37531.15
1333231200000,4.78,38084.05
1333317600000,4.92,87369.1
1333404000000,4.9,80447.8
1333490400000,4.91,57336.28
1333576800000,4.9,38277.52
1333663200000,4.93,62942.73
1333749600000,4.8,84456.12
1333836000000,4.71,44932.46
1333922400000,4.75,43886.22
1334008800000,4.8,61971.73
1334095200000,4.88,71299.88
1334181600000,4.86,56477.15
1334268000000,4.85,102566.45
1334354400000,4.97,68489.72
1334440800000,4.92,34633.22
1334527200000,4.91,42116.87
1334613600000,4.95,33894.46
1334700000000,5.07,86727.91
1334786400000,5.13,56162.11
1334872800000,5.22,111485.44
1334959200000,5.27,63914.19
1335045600000,5.18,39302.21
1335132000000,5.12,54538.37
1335218400000,5.06,81969.36
1335304800000,5.12,39131.01
1335391200000,5.07,64780.5
1335477600000,5.07,28907.87
1335564000000,4.96,95364.25
1335650400000,4.94,23229.31
1335736800000,4.94,59158.68
1335823200000,4.96,38468
1335909600000,5.07,104859.74
1335996000000,5.08,40204.15
1336082400000,5.11,48139.82
1336168800000,5.04,24771.14
1336255200000,5.04,23482.3
1336341600000,5.03,50476.44
1336428000000,5.02,72979.72
1336514400000,5.04,44314.25
1336600800000,4.95,78061.25
1336687200000,4.92,70556.8
1336773600000,4.94,25803.42
1336860000000,4.95,16229.36
1336946400000,4.98,57834.77
1337032800000,4.99,54264.45
1337119200000,5.06,75923.36
1337205600000,5.07,30047.27
1337292000000,5.09,57383.59
1337378400000,5.09,26725.79
1337464800000,5.1,21998.3
1337551200000,5.07,44937.69
1337637600000,5.07,49853.61
1337724000000,5.12,58979.29
1337810400000,5.11,32712.16
1337896800000,5.1,29328.53
1337983200000,5.09,23228.41
1338069600000,5.08,21810.05
1338156000000,5.11,32343.98
1338242400000,5.1,66644.92
1338328800000,5.13,44846.12
1338415200000,5.15,44661.34
1338501600000,5.23,50232.96
1338588000000,5.21,20113.96
1338674400000,5.19,16266.07
1338760800000,5.23,54323.51
1338847200000,5.38,90656.65
1338933600000,5.43,45219.39
1339020000000,5.49,54470.68
1339106400000,5.61,61181.09
1339192800000,5.57,44492.86
1339279200000,5.46,32005.42
1339365600000,5.49,47167.89
1339452000000,5.62,93311.58
1339538400000,5.85,64507.92
1339624800000,5.88,44520.73
1339711200000,6.1,73004.44
1339797600000,6.45,90218.81
1339884000000,6.31,54035.76
1339970400000,6.26,51429.69
1340056800000,6.43,48431.62
1340143200000,6.6,71171.79
1340229600000,6.68,54898.3
1340316000000,6.58,60850.21
1340402400000,6.48,25262.29
1340488800000,6.38,40691.77
1340575200000,6.3,71616.14
1340661600000,6.38,57115.29
1340748000000,6.52,58209.52
1340834400000,6.56,49106.69
1340920800000,6.59,38683.2
1341007200000,6.64,27561.15
1341093600000,6.6,25330.1
1341180000000,6.68,43933.47
1341266400000,6.55,76599.93
1341352800000,6.5,38970.5
1341439200000,6.64,50333.45
1341525600000,6.63,47667.23
1341612000000,6.76,42251.16
1341698400000,6.77,21116.88
1341784800000,6.86,73697.58
1341871200000,7.09,77769.99
1341957600000,7.1,44687.51
1342044000000,7.28,70243.04
1342130400000,7.63,69318.06
1342216800000,7.59,17583.27
1342303200000,7.57,29043.65
1342389600000,8.05,111331.33
1342476000000,8.33,219914.13
1342562400000,9,115863.21
1342648800000,9.08,53925.27
1342735200000,8.2,159917.65
1342821600000,8.87,144540.61
1342908000000,8.61,32479.96
1342994400000,8.46,156081.22
1343080800000,8.61,45954.35
1343167200000,8.58,69053.13
1343253600000,8.75,35892.42
1343340000000,8.88,28979.01
1343426400000,8.85,18784.9
1343512800000,8.76,13047.72
1343599200000,8.92,58025.42
1343685600000,9.24,72372.2
1343772000000,9.4,77790.61
1343858400000,10.1,133500.85
1343944800000,10.71,68492.76
1344031200000,10.99,56356.48
1344117600000,10.6,74893.19
1344204000000,10.87,58822.31
1344290400000,10.81,49110.5
1344376800000,11.01,36054.13
1344463200000,11.32,110042.08
1344549600000,11.37,73648.72
1344636000000,11.49,23214.23
1344722400000,11.62,33231.76
1344808800000,11.75,64277.98
1344895200000,12.08,48977.86
1344981600000,12.6,63282.19
1345068000000,13.22,103915.27
1345154400000,13.31,235650.61
1345240800000,11.86,92818.45
1345327200000,9.09,249729.48
1345413600000,9.51,204044.64
1345500000000,10.03,78668.01
1345586400000,9.91,78584.19
1345672800000,10,60424.94
1345759200000,10.26,98993.86
1345845600000,10.44,42241.23
1345932000000,10.55,28418.87
1346018400000,11.18,185233.96
1346104800000,10.89,63646.47
1346191200000,10.84,59451.87
1346277600000,10.75,33838.4
1346364000000,10.19,72571.66
1346450400000,9.99,25437.8
1346536800000,10.04,27734.48
1346623200000,10.34,25474.93
1346709600000,10.3,38972.25
1346796000000,10.73,65899.54
1346882400000,10.94,74206.45
1346968800000,11.1,39152.61
1347055200000,10.97,28322.97
1347141600000,11.03,16380.47
1347228000000,11.03,47204.29
1347314400000,11.08,75121.59
1347400800000,11.19,64111.18
1347487200000,11.33,24141.76
1347573600000,11.56,48362.47
1347660000000,11.69,17872.55
1347746400000,11.86,33453.18
1347832800000,11.86,32445.04
1347919200000,12.03,48650.96
1348005600000,12.39,46488.63
1348092000000,12.47,36550.42
1348178400000,12.26,39632.85
1348264800000,12.2,16883.95
1348351200000,11.99,43087.01
1348437600000,12.06,34894
1348524000000,12.06,26572.57
1348610400000,12.19,28237.39
1348696800000,12.27,25350.73
1348783200000,12.3,32460.78
1348869600000,12.36,20366.46
1348956000000,12.35,8988.13
1349042400000,12.28,34870.12
1349128800000,12.56,64776.82
1349215200000,12.75,45955.38
1349301600000,12.84,45182.37
1349388000000,12.68,38600.62
1349474400000,12.56,27373.05
1349560800000,12.01,69334.49
1349647200000,11.25,104904.54
1349733600000,11.97,51277.94
1349820000000,12.01,34123.19
1349906400000,12,24797.92
1349992800000,12.03,24497.5
1350079200000,11.88,17933.5
1350165600000,11.82,25397.74
1350252000000,11.68,33192.16
1350338400000,11.78,43937.75
1350424800000,11.83,28917.74
1350511200000,11.85,25350.12
1350597600000,11.73,35461.38
1350684000000,11.69,25415.8
1350770400000,11.61,13272.01
1350856800000,11.65,44351.68
1350943200000,11.69,61934.65
1351029600000,11.62,27142.88
1351116000000,11.02,92861.45
1351202400000,10.28,106642.45
1351288800000,10.35,51384.62
1351375200000,10.53,25587.27
1351465200000,10.61,44750.23
1351551600000,10.7,33111.96
1351638000000,10.99,46251.5
1351724400000,10.92,55264.75
1351810800000,10.54,32224.55
1351897200000,10.48,23415.75
1351983600000,10.55,24983.78
1352070000000,10.63,34120.42
1352156400000,10.76,33778.21
1352242800000,10.92,39218.3
